iter	Logloss
0	0.6822613505
1	0.6716833384
2	0.6621116976
3	0.6520982709
4	0.6431907695
5	0.6358858014
6	0.6259935896
7	0.617211983
8	0.6074683733
9	0.5986250348
10	0.5891456124
11	0.5817152949
12	0.5733811651
13	0.5645104534
14	0.5555384312
15	0.5470257511
16	0.5379817568
17	0.5306487517
18	0.5226824943
19	0.5175967857
20	0.5097914283
21	0.5030449537
22	0.4959101278
23	0.488218836
24	0.4823138114
25	0.4760535311
26	0.470015085
27	0.4625238174
28	0.4561823076
29	0.4494538095
30	0.4437265407
31	0.4372970204
32	0.4319945093
33	0.425984933
34	0.4199386434
35	0.4139707532
36	0.4083810967
37	0.4031210548
38	0.3974740737
39	0.3916850048
40	0.3864978052
41	0.3821838745
42	0.3770659712
43	0.3724317025
44	0.3678981678
45	0.3628153138
46	0.3590305126
47	0.3550280836
48	0.351198011
49	0.3466970116
50	0.3426320027
51	0.3388987423
52	0.3345330123
53	0.3303878331
54	0.3263977891
55	0.3225563184
56	0.3185919714
57	0.3146263229
58	0.3118240467
59	0.3082858018
60	0.3051440223
61	0.3013596245
62	0.2980201054
63	0.2947386409
64	0.2915340859
65	0.2882394797
66	0.2852238031
67	0.2823056622
68	0.2784810132
69	0.2765185088
70	0.2737275582
71	0.2706525268
72	0.2680051927
73	0.2652324429
74	0.2622461247
75	0.2596060231
76	0.2566159629
77	0.2540140942
78	0.250826395
79	0.2485255601
80	0.2460557749
81	0.243747661
82	0.2410291817
83	0.2384404913
84	0.2360628218
85	0.2337875469
86	0.2311078634
87	0.2285474684
88	0.2260209176
89	0.2240462004
90	0.2216484015
91	0.2193031541
92	0.2174653647
93	0.2148698344
94	0.2130984658
95	0.210948479
96	0.2090097652
97	0.2071195333
98	0.2052227493
99	0.2032012639
100	0.2012768039
101	0.1993887357
102	0.1974173948
103	0.1959404009
104	0.1944298642
105	0.1927610379
106	0.1907848511
107	0.1887661375
108	0.1869309441
109	0.185279293
110	0.1838174715
111	0.1822222441
112	0.1807658113	113	0.1791431009
114	0.1775354115	115	0.175860116	0116	0.174241117	0117	0.1729355835
118	0.1720466894
119	0.1705022768
120	0.1695364991
121	0.1682645763
122	0.167012699
123	0.16590124	0.124	0.1646223885
125	0.1632855288
126	0.161127	0.15127	0.160128	0.15128	0.1594161315
129	0.1584747308
130	0.1571426574
131	0.1560174314
132	0.154704039
133	0.1535031541
134	0.152837084
135	0.1518206059
136	0.1507679227
137	0.1495930932
138	0.1485897919
139	0.1475249111
140	0.1463072492
141	0.1452464318
142	0.1438899271
143	0.1429623395
144	0.1420184299
145	0.1409350849
146	0.1401018077
147	0.1392639709
148	0.1383812581
149	0.1374861561
150	0.1366645593
151	0.1358508591
152	0.1348122354
153	0.1339435168
154	0.1331799884
155	0.1325418482
156	0.131433249
157	0.1305078647
158	0.1297067056
159	0.1288261468
160	0.1280100631
161	0.127346711
162	0.1263176065
163	0.1253620356
164	0.1246503455
165	0.123637497
166	0.1229807911
167	0.1220645909
168	0.1211420088
169	0.1202452974
170	0.1193643997
171	0.1185920131
172	0.1177891891
173	0.1170434273
174	0.1164610716
175	0.1158225883
176	0.115077762
177	0.1146482716
178	0.1139545823
179	0.1132728392
180	0.1125453246
181	0.1120182	0.1182	0.1113183	0.1075796379
184	0.1068553244
185	0.1061529156
186	0.1056318059
187	0.104989247
188	0.1043067002
189	0.103703779
190	0.1030297175
191	0.102299606
192	0.1017057398
193	0.1011293296
194	0.1004541572
195	0.09986892847
196	0.0991631395
197	0.09855028512
198	0.09806760828
199	0.09748170367
200	0.09691509837
201	0.09628187133
202	0.09586116521
203	0.09536190747
204	0.09480598674
205	0.0943431063
206	0.09367775874
207	0.0931473272
208	0.09250274315
209	0.09200298448
210	0.09162599325
211	0.09100864161
212	0.09061453082
213	0.08989437266
214	0.08948769769
215	0.08898424045
216	0.08837254712
217	0.08787260162
218	0.08741163801
219	0.08700270435
220	0.08659441831
221	0.0862241352
222	0.0857373425
223	0.08523603746
224	0.08475914281
225	0.08440916925
226	0.08398494897
227	0.08366186493
228	0.08332800202
229	0.0826969874
230	0.08243512465
231	0.08205674296
232	0.08172899493
233	0.08120483147
234	0.08069372357
235	0.08011400165
236	0.07973904192
237	0.07934628471
238	0.07894151975
239	0.07851687845
240	0.0781151225
241	0.07769210983
242	0.07732741618
243	0.07702772795
244	0.07670889952
245	0.07640600224
246	0.07605821589
247	0.07572213068
248	0.07542463471
249	0.07498806005
250	0.07454040635
251	0.07412254387
252	0.0737767573
253	0.07340820738
254	0.07313161537
255	0.07286600595
256	0.07252011717
257	0.0722919089
258	0.07185110114
259	0.07153596799
260	0.07120079808
261	0.07087749829
262	0.07063916515
263	0.0702996701
264	0.0698422317
265	0.06947678218
266	0.06915694763
267	0.06873894828
268	0.06854090654
269	0.06825554047
270	0.06801760356
271	0.06777990054
272	0.06747745177
273	0.06711071888
274	0.06680140232
275	0.06652955256
276	0.06620100444
277	0.06592792341
278	0.0656502372
279	0.0653737316
280	0.06509826242
281	0.06480013555
282	0.06450169149
283	0.06419538026
