iter	Passed	Remaining
419	2344	3237
420	2349	3231
421	2354	3225
422	2359	3219
423	2365	3213
424	2370	3206
425	2375	3200
426	2380	3194
427	2385	3187
428	2390	3181
429	2395	3175
430	2400	3169
431	2405	3163
432	2410	3156
433	2416	3151
434	2421	3145
435	2427	3139
436	2432	3133
437	2437	3127
438	2442	3121
439	2447	3115
440	2452	3109
441	2458	3103
442	2463	3096
443	2468	3090
444	2473	3084
445	2478	3079
446	2484	3073
447	2489	3067
448	2494	3061
449	2499	3055
450	2504	3048
451	2509	3042
452	2514	3036
453	2519	3030
454	2525	3024
455	2530	3018
456	2535	3012
457	2540	3006
458	2545	3000
459	2550	2994
460	2555	2988
461	2561	2982
462	2566	2976
463	2571	2970
464	2576	2964
465	2581	2958
466	2587	2952
467	2592	2946
468	2597	2940
469	2602	2934
470	2607	2928
471	2612	2922
472	2617	2916
473	2623	2910
474	2628	2904
475	2633	2898
476	2638	2892
477	2643	2887
478	2648	2881
479	2654	2875
480	2659	2869
481	2664	2863
482	2669	2857
483	2674	2851
484	2680	2845
485	2685	2839
486	2690	2834
487	2695	2828
488	2700	2822
489	2705	2816
490	2710	2810
491	2716	2804
492	2721	2798
493	2726	2792
494	2732	2787
495	2737	2781
496	2742	2775
497	2747	2770
498	2753	2764
499	2758	2758
500	2763	2752
501	2768	2746
502	2774	2741
503	2779	2735
504	2784	2729
505	2789	2723
506	2795	2717
507	2800	2711
508	2805	2706
509	2810	2700
510	2815	2694
511	2820	2688
512	2825	2682
513	2831	2676
514	2836	2671
515	2841	2665
516	2846	2659
517	2852	2653
518	2857	2648
519	2862	2642
520	2867	2636
521	2873	2631
522	2878	2625
523	2883	2619
524	2889	2613
525	2894	2608
526	2899	2602
527	2905	2597
528	2910	2591
529	2915	2585
530	2921	2580
531	2926	2574
532	2931	2568
533	2936	2562
534	2941	2556
535	2947	2551
536	2952	2545
537	2957	2539
538	2962	2534
539	2967	2528
540	2973	2522
541	2978	2516
542	2983	2510
543	2988	2505
544	2993	2499
545	2999	2493
546	3004	2488
547	3009	2482
548	3014	2476
549	3019	2470
550	3025	2465
551	3030	2459
552	3035	2453
553	3040	2447
554	3045	2442
555	3050	2436
556	3056	2430
557	3061	2424
558	3066	2418
559	3071	2413
560	3077	2407
561	3082	2402
562	3087	2396
563	3092	2390
564	3097	2385
565	3103	2379
566	3108	2373
567	3113	2368
568	3118	2362
569	3124	2356
570	3129	2351
571	3134	2345
572	3139	2339
573	3145	2334
574	3150	2328
575	3155	2323
576	3160	2317
577	3166	2311
578	3171	2305
579	3176	2300
580	3181	2294
581	3186	2288
582	3192	2283
583	3197	2277
584	3202	2271
585	3207	2265
586	3212	2260
587	3217	2254
588	3222	2248
589	3227	2242
590	3232	2237
591	3237	2231
592	3243	2225
593	3248	2220
594	3253	2214
595	3259	2209
596	3265	2204
597	3270	2198
598	3275	2192
599	3280	2187
600	3286	2181
601	3291	2175
602	3296	2170
603	3301	2164
604	3306	2158
605	3312	2153
606	3317	2147
607	3322	2142
608	3327	2136
609	3333	2130
610	3338	2125
611	3343	2119
612	3348	2114
613	3353	2108
614	3358	2102
615	3364	2097
616	3369	2091
617	3374	2085
618	3380	2080
619	3385	2074
620	3390	2069
621	3395	2063
622	3401	2058
623	3406	2052
624	3411	2046
625	3416	2041
626	3421	2035
627	3427	2030
628	3432	2024
629	3437	2018
630	3442	2013
631	3447	2007
632	3452	2001
633	3458	1996
634	3463	1990
635	3468	1985
636	3473	1979
637	3479	1974
638	3484	1968
639	3489	1963
640	3495	1957
641	3500	1951
642	3505	1946
643	3510	1940
644	3516	1935
645	3521	1929
646	3526	1924
647	3531	1918
648	3537	1912
649	3542	1907
650	3547	1901
651	3553	1896
652	3558	1890
653	3563	1885
654	3568	1879
655	3573	1874
656	3579	1868
657	3584	1863
658	3589	1857
659	3594	1851
660	3600	1846
661	3605	1840
662	3610	1835
663	3615	1829
664	3621	1824
665	3626	1818
666	3631	1813
667	3636	1807
668	3641	1801
669	3647	1796
670	3652	1790
671	3657	1785
672	3663	1779
673	3668	1774
674	3673	1768
675	3679	1763
676	3684	1757
677	3689	1752
678	3695	1746
679	3700	1741
680	3705	1735
681	3710	1730
682	3716	1724
683	3721	1719
684	3726	1713
685	3731	1708
686	3737	1702
687	3743	1697
688	3748	1691
689	3753	1686
690	3758	1680
691	3764	1675
692	3769	1669
693	3774	1664
694	3780	1658
695	3785	1653
696	3790	1647
697	3795	1642
698	3801	1636
699	3806	1631
700	3811	1625
701	3816	1620
702	3822	1614
703	3827	1609
704	3832	1603
705	3838	1598
706	3843	1592
707	3849	1587
708	3854	1581
709	3859	1576
710	3864	1570
711	3870	1565
712	3875	1559
713	3880	1554
714	3885	1548
715	3891	1543
716	3896	1537
717	3901	1532
718	3906	1526
719	3911	1521
720	3917	1515
721	3922	1510
722	3927	1504
723	3932	1499
724	3938	1493
725	3943	1488
726	3948	1482
727	3953	1477
728	3959	1471
729	3964	1466
730	3969	1460
731	3974	1455
732	3980	1449
733	3985	1444
734	3990	1438
735	3995	1433
736	4000	1427
737	4006	1422
738	4011	1416
739	4016	1411
740	4022	1405
741	4027	1400
742	4032	1394
743	4037	1389
744	4043	1383
745	4048	1378
746	4053	1372
747	4058	1367
748	4064	1361
749	4069	1356
750	4074	1351
751	4079	1345
752	4084	1339
753	4090	1334
754	4095	1328
755	4100	1323
756	4105	1317
757	4110	1312
758	4116	1307
759	4121	1301
760	4126	1296
761	4132	1290
762	4137	1285
763	4142	1279
764	4147	1274
765	4152	1268
766	4157	1263
767	4163	1257
768	4168	1252
769	4173	1246
770	4178	1241
771	4183	1235
772	4188	1230
773	4193	1224
774	4199	1219
775	4204	1213
776	4209	1208
777	4214	1202
778	4219	1197
779	4225	1191
780	4230	1186
781	4235	1180
782	4240	1175
783	4245	1169
784	4250	1164
785	4255	1158
786	4261	1153
787	4266	1147
788	4271	1142
789	4276	1136
790	4282	1131
791	4287	1125
792	4292	1120
793	4297	1114
794	4302	1109
795	4307	1104
796	4313	1098
797	4318	1093
798	4323	1087
799	4328	1082
800	4333	1076
801	4338	1071
802	4344	1065
803	4349	1060
