iter	Logloss
0	0.646055337
1	0.6030769612
2	0.5618688563
3	0.5244856222
4	0.4919279598
5	0.4628591188
6	0.4361107347
7	0.4119369023
8	0.3889493645
9	0.3699585707
10	0.3502536303
11	0.3315192338
12	0.3163699367
13	0.3025294677
14	0.2879214144
15	0.2747652873
16	0.2629523863
17	0.2529217088
18	0.2423335212
19	0.2330382183
20	0.2251976025
21	0.2180612069
22	0.2114335349
23	0.2044594081
24	0.1981536614
25	0.1929104608
26	0.1874574465
27	0.1824450654
28	0.1779534603
29	0.1735124581
30	0.1697690788
31	0.1661776773
32	0.1632642664
33	0.1604964481
34	0.1580238408
35	0.1551402512
36	0.1528558637
37	0.1500889602
38	0.1477287722
39	0.1452274774
40	0.1428965734
41	0.1407433539
42	0.1386395197
43	0.1367455977
44	0.1355148068
45	0.1341189015
46	0.13217455
47	0.1308916746
48	0.1297917908
49	0.1284037916
50	0.1273905865
51	0.125885744
52	0.1249554141
53	0.1236664837
54	0.1226175276
55	0.1213584893
56	0.1202057466
57	0.1192799791
58	0.1182087411
59	0.1172501808
60	0.1166190511
61	0.1153296746
62	0.1141621179
63	0.1132951934
64	0.1126216992
65	0.1117730222
66	0.1109439468
67	0.1100404725
68	0.1092850216
69	0.108669386
70	0.1080520788
71	0.1074297398
72	0.1068261915
73	0.1058042966
74	0.1050215395
75	0.1044776901
76	0.1038661912
77	0.1031143721
78	0.1027799816
79	0.1022407933
80	0.1015944318
81	0.1011447105
82	0.100649627
83	0.1000146884
84	0.09948913655
85	0.0991008316
86	0.09846736905
87	0.09800265865
88	0.09750772685
89	0.09697025717
90	0.09654029025
91	0.09604194449
92	0.09552893609
93	0.09524949669
94	0.09488812153
95	0.09452834316
96	0.09426268996
97	0.09374287613
98	0.09341175371
99	0.09305874077
100	0.09259073845
101	0.09223591881
102	0.09201633149
103	0.09174058452
104	0.09131148956
105	0.09085680679
106	0.09046406555
107	0.09026505341
108	0.08992181653
109	0.0895779018
110	0.08929916293
111	0.08900715953
112	0.08872913063
113	0.08849546284
114	0.08824796531
115	0.08799504423
116	0.08760977784
117	0.0873617401
118	0.08717247811
119	0.08683494986
120	0.08657782891
121	0.08641447429
122	0.0861132716
123	0.0857956928
124	0.08551634432
125	0.0852793234
126	0.08500298538
127	0.08471438376
128	0.0844852811
129	0.08430112855
130	0.0840391968
131	0.08389745775
132	0.08368158756
133	0.08346960361
134	0.08326055901
135	0.08307980035
136	0.08282903917
137	0.08254055323
138	0.08233260705
139	0.08206078936
140	0.08183827133
141	0.08161952708
142	0.08139062747
143	0.0812207749
144	0.0809952491
145	0.08089327058
146	0.08067370221
147	0.08049133969
148	0.08027235812
149	0.08001393348
150	0.07981917194
151	0.07961802225
152	0.0795150862
153	0.07929191945
154	0.07914035349
155	0.07890353144
156	0.07861271723
157	0.0784696879
158	0.0783225306
159	0.07808283613
160	0.07786296577
161	0.07775155239
162	0.07762649224
163	0.07749580026
164	0.0773482776
165	0.07724949229
166	0.0771171065
167	0.07698004739
168	0.07685547966
169	0.07670898548
170	0.07651166419
171	0.07632061257
172	0.07614849702
173	0.07601487338
174	0.07585454258
175	0.07579162482
176	0.07561855251
177	0.07548373776
178	0.07538421841
179	0.07526885025
180	0.07510704198
181	0.07492226782
182	0.07483092117
183	0.07463921206
184	0.07450334398
185	0.07434366544
186	0.07419928632
187	0.07408532144
188	0.07402046058
